ID_xml,ID_rec
077_2025-03-12_13-00-00,11040.0
077_2025-03-12_13-06-00,11040.0
077_2025-03-12_13-17-00,11040.0
077_2025-03-12_13-44-00,11040.0
077_2025-03-10_12-29-15,11050.0
077_2025-03-10_12-32-15,11050.0
077_2025-03-10_13-00-00,11050.0
077_2025-03-10_13-06-00,11050.0
077_2025-03-10_13-17-00,11050.0
077_2025-03-10_13-44-00,11050.0
221_2025-03-10_10-20-05,11060.0
221_2025-03-10_10-28-05,11060.0
221_2025-03-10_13-00-00,11060.0
221_2025-03-10_13-06-00,11060.0
221_2025-03-10_13-17-00,11060.0
221_2025-03-10_13-44-00,11060.0
051_2025-03-08_13-27-05,11070.0
051_2025-03-08_13-44-00,11070.0
051_2025-03-09_13-00-00,11070.0
051_2025-03-09_13-06-00,11070.0
051_2025-03-09_13-17-00,11070.0
051_2025-03-09_13-44-00,11070.0
051_2025-03-15_12-29-48,6200.0
051_2025-03-15_12-37-48,6200.0
051_2025-03-15_13-00-00,6200.0
051_2025-03-15_13-06-00,6200.0
051_2025-03-15_13-17-00,6200.0
051_2025-03-15_13-44-00,6200.0
051_2025-03-20_10-48-20,6220.0
051_2025-03-20_10-52-20,6220.0
051_2025-03-20_13-00-00,6220.0
051_2025-03-20_13-31-00,6220.0
051_2025-03-20_14-32-00,6220.0
282_2025-03-04_10-38-55,7040.0
282_2025-03-04_10-41-55,7040.0
282_2025-03-04_13-00-00,7040.0
282_2025-03-04_13-06-00,7040.0
282_2025-03-04_13-17-00,7040.0
282_2025-03-04_13-44-00,7040.0
221_2025-03-05_12-04-23,7050.0
221_2025-03-05_12-12-23,7050.0
221_2025-03-05_13-00-00,7050.0
221_2025-03-05_13-06-00,7050.0
221_2025-03-05_13-17-00,7050.0
221_2025-03-05_13-44-00,7050.0
025_2025-03-05_10-37-25,7060.0
025_2025-03-05_10-40-25,7060.0
025_2025-03-05_13-00-00,7060.0
025_2025-03-05_13-06-00,7060.0
025_2025-03-05_13-17-00,7060.0
025_2025-03-05_13-44-00,7060.0
025_2025-03-06_13-00-00,7060.0
025_2025-03-06_13-06-00,7060.0
025_2025-03-06_13-17-00,7060.0
025_2025-03-06_13-44-00,7060.0
282_2025-03-13_10-14-04,7070.0
282_2025-03-13_10-17-04,7070.0
282_2025-03-13_13-00-00,7070.0
282_2025-03-13_13-06-00,7070.0
282_2025-03-13_13-17-00,7070.0
282_2025-03-13_13-44-00,7070.0
221_2025-03-17_12-30-19,7210.0
221_2025-03-17_13-00-00,7210.0
221_2025-03-17_13-06-00,7210.0
221_2025-03-17_13-17-00,7210.0
